rowname	sum.taxonomy
asv.160	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Pelates;Pelates_quadrilineatus
asv.131	Eukaryota;Chordata;Actinopteri;;;;
asv.132	Eukaryota;Chordata;Actinopteri;nan;Centropomidae;Psammoperca;Psammoperca_waigiensis
asv.134	Eukaryota;Chordata;Actinopteri;Siluriformes;Plotosidae;Plotosus;Plotosus_canius
asv.135	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
asv.138	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Mullidae;Mulloidichthys;Mulloidichthys_vanicolensis
asv.140	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Hypoatherina;
asv.141	Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula_goreensis
asv.162	Eukaryota;Chordata;Actinopteri;Perciformes;Platycephalidae;Cymbacephalus;Cymbacephalus_beauforti
asv.169	Eukaryota;Chordata;Actinopteri;nan;Pomacentridae;Neopomacentrus;Neopomacentrus_bankieri
asv.171	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;;
asv.173	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;
asv.175	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus_bahianus
asv.115	Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Osmerus;
asv.117	Eukaryota;Chordata;Actinopteri;Spariformes;Nemipteridae;Parascolopsis;
asv.119	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.120	Eukaryota;Chordata;Actinopteri;Perciformes;Zoarcidae;Zoarces;Zoarces_elongatus
asv.123	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Rhabdosargus;
asv.124	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.125	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.212	Eukaryota;Chordata;Actinopteri;Perciformes;Zoarcidae;Zoarces;Zoarces_elongatus
asv.219	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
asv.223	Eukaryota;Chordata;Actinopteri;;;;
asv.224	Eukaryota;Chordata;Actinopteri;nan;Sphyraenidae;Sphyraena;Sphyraena_obtusata
asv.178	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.179	Eukaryota;Chordata;Actinopteri;;;;
asv.182	Eukaryota;Chordata;Actinopteri;;;;
asv.186	Eukaryota;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;
asv.192	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Scardinius;Scardinius_erythrophthalmus
asv.195	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;
asv.196	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea_harengus
asv.197	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea_harengus
asv.200	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea_harengus
asv.201	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.202	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Herklotsichthys;Herklotsichthys_quadrimaculatus
asv.205	Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Perca;Perca_fluviatilis
asv.229	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.232	Eukaryota;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;
asv.235	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx_crysos
asv.237	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.238	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;
asv.239	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.241	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon_schoenleinii
asv.243	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;
asv.244	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;;
asv.245	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;
