asv.42	Bacteria;
asv.97	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens;
asv.120	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens;
asv.140	Bacteria;
asv.163	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.207	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.240	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.250	Bacteria;
asv.269	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.272	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.275	Bacteria;
asv.298	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.322	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.326	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.337	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.383	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.412	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.413	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.453	Bacteria;
asv.466	Bacteria;
asv.467	Unknown
asv.481	Bacteria;
asv.501	Unknown
asv.505	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens;
asv.545	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_alginolyticus;
asv.570	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.592	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.614	Bacteria;
asv.628	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.633	Bacteria;Proteobacteria;Deltaproteobacteria;unknown;unknown;unknown;uncultured_delta_proteobacterium;
asv.639	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.646	Bacteria;
asv.651	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;
asv.655	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.688	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.692	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.710	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.717	Eukaryota;unknown;Bolidophyceae;Parmales;Triparmaceae;
asv.718	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.731	Unknown
asv.739	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.741	Eukaryota;unknown;unknown;unknown;unknown;unknown;
asv.762	Unknown
asv.770	Bacteria;
asv.775	Bacteria;Proteobacteria;
asv.786	Eukaryota;unknown;
asv.794	Unknown
asv.798	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.802	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.862	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.865	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;
asv.866	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.875	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.886	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.891	Bacteria;
asv.894	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.900	Unknown
asv.907	Bacteria;
asv.910	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.930	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.939	Unknown
asv.942	Unknown
asv.945	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.946	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.947	Bacteria;Proteobacteria;Oligoflexia;Oligoflexales;Oligoflexaceae;Oligoflexus;Oligoflexus_tunisiensis;
asv.977	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Hyphomonas;
asv.978	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
asv.981	Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;
asv.986	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.991	Bacteria;
asv.1005	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1006	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1028	Bacteria;
asv.1030	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Festucalex;Festucalex_scalaris;
asv.1039	Unknown
asv.1042	Bacteria;
asv.1045	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1050	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1054	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1064	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1070	Bacteria;Proteobacteria;Alphaproteobacteria;Parvularculales;Parvularculaceae;
