kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.4	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.43	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.71	Eukaryota	Chordata	Actinopteri	Chaetodontiformes	Leiognathidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.77	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Terapontidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.78	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.79	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.50	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.53	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.97	Eukaryota	Chordata	Actinopteri	Perciformes	Platycephalidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.103	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Terapontidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.156	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes					bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.131	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.171	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Syngnathidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.125	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.219	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.223	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.178	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.179	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.182	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.201	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.229	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.244	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.250	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
