asv.6	Bacteria;Proteobacteria;Gammaproteobacteria;
asv.1001	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1026	Bacteria;Proteobacteria;Deltaproteobacteria;
asv.1028	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1035	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1052	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1054	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1067	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1074	Bacteria;
asv.1076	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1077	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1093	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1101	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1109	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1110	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_marine_bacterium;
asv.1122	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1131	Bacteria;
asv.1141	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_marine_bacterium;
asv.1150	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1151	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1169	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1173	Bacteria;
asv.1175	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1182	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1184	Bacteria;
asv.1193	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1194	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.1196	Bacteria;
asv.1224	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1241	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1248	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1263	Bacteria;
asv.1265	Bacteria;
asv.1279	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1284	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1300	Bacteria;
asv.1305	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
