asv	sum.taxonomy	identificationRemarks
147	asv.147	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Harengula;s__Harengula_jaguana	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Harengula;s__Harengula_jaguana, confidences 1;0.99;0.99;0.96;0.9;0.9;0.89;0.89. No VSEARCH hits at 0.97 identity.
148	asv.148	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;1;1;0.99;0.98;0.98;0.96;0.59. No VSEARCH hits at 0.97 identity.
149	asv.149	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Hyperoartia;o__Petromyzontiformes;f__Petromyzontidae;g__Lethenteron;s__Lethenteron_reissneri, confidences 1;0.99;0.93;0.46;0.46;0.46;0.46;0.46. No VSEARCH hits at 0.97 identity.
150	asv.150	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;0.99;0.99;0.96;0.9;0.9;0.9;0.88. No VSEARCH hits at 0.97 identity.
151	asv.151	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_gymnogenis, confidences 1;0.95;0.77;0.5;0.12;0.12;0.03;0.03. No VSEARCH hits at 0.97 identity.
152	asv.152	sk__Eukaryota	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__undef_Eukaryota;p__Ciliophora;c__Spirotrichea;o__Euplotida;f__Euplotidae;g__Moneuplotes;s__Moneuplotes_crassus, confidences 1;0.16;0.16;0.16;0.16;0.16;0.16;0.16. No VSEARCH hits at 0.97 identity.
153	asv.153	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;1;0.99;0.99;0.98;0.98;0.98;0.71. No VSEARCH hits at 0.97 identity.
154	asv.154	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Morethia;s__Morethia_butleri, confidences 1;1;1;0.41;0.41;0.26;0.18;0.18. No VSEARCH hits at 0.97 identity.
155	asv.155	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Percidae;g__Etheostoma;s__Etheostoma_okaloosae, confidences 1;0.91;0.75;0.35;0.02;0.01;0.01;0.01. No VSEARCH hits at 0.97 identity.
156	asv.156	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Tetraodontiformes;f__Monacanthidae;g__Pseudalutarius;s__Pseudalutarius_nasicornis, confidences 1;0.99;0.81;0.21;0.03;0.03;0.03;0.03. No VSEARCH hits at 0.97 identity.
157	asv.157	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Chondrichthyes;o__Myliobatiformes;f__Myliobatidae;g__Aetomylaeus;s__Aetomylaeus_nichofii, confidences 1;0.98;0.72;0.04;0.01;0.01;0.01;0.01. No VSEARCH hits at 0.97 identity.
158	asv.158	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Pomacanthidae;g__Chaetodontoplus;s__Chaetodontoplus_poliourus, confidences 1;0.97;0.83;0.31;0.04;0.02;0.02;0.02. No VSEARCH hits at 0.97 identity.
159	asv.159	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;0.98;0.98;0.98;0.97;0.97;0.97;0.68. No VSEARCH hits at 0.97 identity.
160	asv.160	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Pomacentridae;g__Stegastes;s__Stegastes_imbricatus, confidences 1;1;1;0.8;0.3;0.3;0.3;0.21. No VSEARCH hits at 0.97 identity.
161	asv.161	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Aulopiformes;f__Synodontidae;g__Synodus;s__Synodus_variegatus, confidences 1;0.99;0.69;0.48;0.07;0.07;0.07;0.07. No VSEARCH hits at 0.97 identity.
162	asv.162	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__undef_Actinopteri;f__Sillaginidae;g__Sillago;s__Sillago_attenuata, confidences 1;0.98;0.78;0.35;0.06;0.03;0.03;0.03. No VSEARCH hits at 0.97 identity.
163	asv.163	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Chondrichthyes;o__Carcharhiniformes;f__Carcharhinidae;g__Glyphis;s__Glyphis_sp._Bangladesh, confidences 1;1;0.94;0.58;0.4;0.38;0.26;0.11. No VSEARCH hits at 0.97 identity.
164	asv.164	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Holocentriformes;f__Holocentridae;g__Sargocentron;s__Sargocentron_spiniferum, confidences 1;1;0.99;0.62;0.15;0.15;0.15;0.07. No VSEARCH hits at 0.97 identity.
165	asv.165	sk__Eukaryota	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Friedmanniomyces;s__Friedmanniomyces_endolithicus, confidences 1;0.12;0.12;0.05;0.05;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
166	asv.166	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Stumpffia;s__Stumpffia_fusca, confidences 1;0.91;0.82;0.19;0.19;0.08;0.04;0.04. No VSEARCH hits at 0.97 identity.
167	asv.167	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;1;0.98;0.88;0.88;0.88;0.87. No VSEARCH hits at 0.97 identity.
168	asv.168	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Incilius;s__Incilius_porteri, confidences 1;1;0.97;0.22;0.22;0.1;0.07;0.01. No VSEARCH hits at 0.97 identity.
169	asv.169	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Gekkonidae;g__Ptenopus;s__Ptenopus_carpi, confidences 1;0.97;0.85;0.12;0.12;0.07;0.01;0.01. No VSEARCH hits at 0.97 identity.
170	asv.170	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Herichthys;s__Herichthys_cyanoguttatus, confidences 1;1;1;0.6;0.03;0.03;0.02;0.02. No VSEARCH hits at 0.97 identity.
171	asv.171	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Insecta;o__Phthiraptera;f__Philopteridae;g__Columbicola;s__Columbicola_macrourae, confidences 1;0.99;0.07;0.07;0.06;0.06;0.06;0.06. No VSEARCH hits at 0.97 identity.
172	asv.172	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Gekkonidae;g__Calodactylodes;s__Calodactylodes_aureus, confidences 1;0.97;0.78;0.13;0.13;0.07;0.06;0.06. No VSEARCH hits at 0.97 identity.
173	asv.173	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Mollusca;c__Gastropoda;o__Stylommatophora;f__Bradybaenidae;g__Mandarina;s__Mandarina_hirasei, confidences 1;0.97;0.14;0.14;0.07;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
174	asv.174	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Harengula;s__Harengula_jaguana, confidences 1;1;1;0.78;0.33;0.32;0.21;0.21. No VSEARCH hits at 0.97 identity.
175	asv.175	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cephalopholis;s__Cephalopholis_urodeta, confidences 1;1;0.93;0.73;0.27;0.23;0.1;0.04. No VSEARCH hits at 0.97 identity.
176	asv.176	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Priacanthiformes;f__Priacanthidae;g__Pristigenys;s__Pristigenys_niphonia, confidences 1;1;0.98;0.87;0.14;0.14;0.14;0.14. No VSEARCH hits at 0.97 identity.
177	asv.177	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;1;1;0.92;0.92;0.9;0.9. No VSEARCH hits at 0.97 identity.
178	asv.178	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Vulpes;s__Vulpes_vulpes, confidences 1;0.96;0.89;0.39;0.02;0.01;0.01;0.01. No VSEARCH hits at 0.97 identity.
179	asv.179	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Strabomantidae;g__Phrynopus;s__Phrynopus_horstpauli, confidences 1;0.98;0.87;0.15;0.15;0.08;0.07;0.06. No VSEARCH hits at 0.97 identity.
180	asv.180	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Elapidae;g__Elapognathus;s__Elapognathus_coronatus, confidences 1;0.98;0.91;0.1;0.1;0.02;0.01;0.01. No VSEARCH hits at 0.97 identity.
181	asv.181	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Holocentriformes;f__Holocentridae;g__Sargocentron;s__Sargocentron_spiniferum, confidences 1;1;1;0.72;0.24;0.24;0.24;0.12. No VSEARCH hits at 0.97 identity.
182	asv.182	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Chuanchia;s__Chuanchia_labiosa, confidences 1;0.98;0.87;0.7;0.24;0.18;0.01;0.01. No VSEARCH hits at 0.97 identity.
183	asv.183	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Mollusca;c__Gastropoda;o__Stylommatophora;f__Bradybaenidae;g__Mandarina;s__Mandarina_hirasei, confidences 1;0.99;0.11;0.07;0.06;0.04;0.04;0.04. No VSEARCH hits at 0.97 identity.
184	asv.184	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Blenniidae;g__Salarias;s__Salarias_fasciatus, confidences 1;1;0.99;0.67;0.02;0.02;0.02;0.02. No VSEARCH hits at 0.97 identity.
185	asv.185	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;1;1;1;0.99;0.99;0.99;0.54. No VSEARCH hits at 0.97 identity.
186	asv.186	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Pandalidae;g__Bitias;s__Bitias_brevis, confidences 1;0.96;0.15;0.07;0.07;0.07;0.07;0.07. No VSEARCH hits at 0.97 identity.
187	asv.187	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Pan;s__Pan_troglodytes, confidences 1;1;0.97;0.69;0.5;0.4;0.25;0.25. No VSEARCH hits at 0.97 identity.
188	asv.188	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Rhinella;s__Rhinella_margaritifera, confidences 1;0.97;0.79;0.13;0.11;0.07;0.07;0.07. No VSEARCH hits at 0.97 identity.
189	asv.189	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Percidae;g__Etheostoma;s__Etheostoma_okaloosae, confidences 1;0.92;0.73;0.25;0.02;0.02;0.02;0.02. No VSEARCH hits at 0.97 identity.
190	asv.190	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Labroides;s__Labroides_rubrolabiatus, confidences 1;0.92;0.61;0.36;0.04;0.04;0.02;0.01. No VSEARCH hits at 0.97 identity.
191	asv.191	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Acanthuriformes;f__Acanthuridae;g__Acanthurus;s__Acanthurus_leucosternon, confidences 1;1;1;0.94;0.23;0.21;0.16;0.14. No VSEARCH hits at 0.97 identity.
192	asv.192	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Mollusca;c__Gastropoda;o__Stylommatophora;f__Bradybaenidae;g__Mandarina;s__Mandarina_hirasei, confidences 1;0.98;0.14;0.13;0.06;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
193	asv.193	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Lutjaniformes;f__Lutjanidae;g__Pterocaesio;s__Pterocaesio_tile, confidences 1;0.95;0.78;0.48;0;0;0;0. No VSEARCH hits at 0.97 identity.
194	asv.194	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Sphaerodactylidae;g__Lepidoblepharis;s__Lepidoblepharis_xanthostigma, confidences 1;0.99;0.87;0.12;0.12;0.09;0.09;0.09. No VSEARCH hits at 0.97 identity.
195	asv.195	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Anabantiformes;f__Osphronemidae;g__Macropodus;s__Macropodus_erythropterus, confidences 1;0.92;0.78;0.34;0.02;0.02;0.01;0.01. No VSEARCH hits at 0.97 identity.
196	asv.196	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Herichthys;s__Herichthys_cyanoguttatus, confidences 1;1;0.99;0.67;0.03;0.03;0.02;0.02. No VSEARCH hits at 0.97 identity.
197	asv.197	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Sphaerodactylidae;g__Sphaerodactylus;s__Sphaerodactylus_dunni, confidences 1;1;1;0.19;0.19;0.08;0.08;0.08. No VSEARCH hits at 0.97 identity.
198	asv.198	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Gobius;s__Gobius_bucchichi, confidences 1;0.99;0.77;0.38;0.04;0.04;0.04;0.04. No VSEARCH hits at 0.97 identity.
199	asv.199	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;o__Actiniaria;f__Sagartiidae;g__Sagartia;s__Sagartia_ornata, confidences 1;0.92;0.1;0.1;0.07;0.07;0.07;0.07. No VSEARCH hits at 0.97 identity.
200	asv.200	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Stumpffia;s__Stumpffia_be, confidences 1;0.97;0.75;0.15;0.15;0.1;0.08;0.04. No VSEARCH hits at 0.97 identity.
201	asv.201	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cephalopholis;s__Cephalopholis_boenak, confidences 1;1;0.99;0.8;0.32;0.26;0.14;0.07. No VSEARCH hits at 0.97 identity.
202	asv.202	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;1;1;0.97;0.97;0.95;0.95. No VSEARCH hits at 0.97 identity.
203	asv.203	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;1;1;1;0.99;0.99;0.95;0.66. No VSEARCH hits at 0.97 identity.
204	asv.204	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Xenocyprididae;g__Hypophthalmichthys;s__Hypophthalmichthys_molitrix, confidences 1;1;0.83;0.38;0.11;0.07;0.05;0.05. No VSEARCH hits at 0.97 identity.
205	asv.205	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Poeciliidae;g__Poeciliopsis;s__Poeciliopsis_occidentalis, confidences 1;1;0.96;0.65;0.07;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
206	asv.206	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Anostomidae;g__Megaleporinus;s__Megaleporinus_obtusidens, confidences 1;1;0.95;0.42;0.02;0.01;0.01;0.01. No VSEARCH hits at 0.97 identity.
207	asv.207	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cephalopholis;s__Cephalopholis_urodeta, confidences 1;1;0.99;0.75;0.38;0.31;0.09;0.01. No VSEARCH hits at 0.97 identity.
208	asv.208	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Percidae;g__Percina;s__Percina_copelandi, confidences 1;1;0.95;0.47;0.12;0.05;0.04;0.02. No VSEARCH hits at 0.97 identity.
209	asv.209	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Aethaloperca;s__Aethaloperca_rogaa, confidences 1;1;0.99;0.7;0.26;0.18;0.02;0.02. No VSEARCH hits at 0.97 identity.
210	asv.210	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Holocentriformes;f__Holocentridae;g__Sargocentron;s__Sargocentron_spiniferum, confidences 1;1;0.97;0.58;0.19;0.19;0.19;0.09. No VSEARCH hits at 0.97 identity.
211	asv.211	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Odontesthes;s__Odontesthes_sp._Odsp-001, confidences 1;1;0.96;0.84;0.01;0.01;0.01;0.01. No VSEARCH hits at 0.97 identity.
212	asv.212	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Probarbus;s__Probarbus_jullieni, confidences 1;1;0.93;0.56;0.16;0.13;0.09;0.09. No VSEARCH hits at 0.97 identity.
213	asv.213	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__Sparisoma_axillare, confidences 1;1;1;0.97;0.92;0.92;0.92;0.87. No VSEARCH hits at 0.97 identity.
214	asv.214	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Halichoeres;s__Halichoeres_radiatus, confidences 1;0.99;0.99;0.99;0.98;0.98;0.98;0.7. No VSEARCH hits at 0.97 identity.
215	asv.215	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Ophichthidae;g__Ophichthus;s__Ophichthus_serpentinus, confidences 1;1;0.98;0.57;0.04;0.04;0.04;0.04. No VSEARCH hits at 0.97 identity.
216	asv.216	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia;o__Limoida;f__Limidae;g__Lima;s__Lima_zealandica, confidences 1;0.97;0.08;0.07;0.05;0.05;0.05;0.05. No VSEARCH hits at 0.97 identity.
217	asv.217	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Caecidae;g__Caecum;s__Caecum_glabellum, confidences 1;0.99;0.09;0.08;0.03;0.03;0.03;0.03. No VSEARCH hits at 0.97 identity.
218	asv.218	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Paralichthyidae;g__Paralichthys;s__Paralichthys_lethostigma, confidences 1;1;0.99;0.66;0.05;0.03;0.03;0.03. No VSEARCH hits at 0.97 identity.
219	asv.219	sk__Eukaryota;k__Metazoa;p__Chordata	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Harengula;s__Harengula_jaguana, confidences 1;1;1;0.77;0.32;0.32;0.25;0.25. No VSEARCH hits at 0.97 identity.
